"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
649715,2019,10,20,"2019-10-20","19:45:00",3,"OK",40,0,1.75,0,0,0,0,34.03,-96.72,34.03,-96.72,0,0,0,0,0,95,0,0,0
649716,2019,10,20,"2019-10-20","19:45:00",3,"OK",40,0,2,0,0,0,0,34,-96.81,34,-96.81,0,0,0,0,0,95,0,0,0
649717,2019,10,20,"2019-10-20","19:45:00",3,"OK",40,0,1,0,0,0,0,34.27,-96.5,34.27,-96.5,0,0,0,0,0,69,0,0,0
649718,2019,10,20,"2019-10-20","19:50:00",3,"OK",40,0,1.25,0,0,0,0,35.71,-96.88,35.71,-96.88,0,0,0,0,0,81,0,0,0
649719,2019,10,20,"2019-10-20","19:50:00",3,"OK",40,0,0.75,0,0,0,0,35.7481,-96.0093,35.7481,-96.0093,0,0,0,0,0,111,0,0,0
649720,2019,10,20,"2019-10-20","19:53:00",3,"TX",48,0,1.25,0,0,0,0,32.5495,-97.1057,32.5495,-97.1057,0,0,0,0,0,439,0,0,0
649721,2019,10,20,"2019-10-20","19:54:00",3,"TX",48,0,1,0,0,0,0,32.95,-97,32.95,-97,0,0,0,0,0,113,0,0,0
649722,2019,10,20,"2019-10-20","19:55:00",3,"OK",40,0,2.75,0,0,0,0,34.24,-96.55,34.24,-96.55,0,0,0,0,0,69,0,0,0
649723,2019,10,20,"2019-10-20","19:57:00",3,"OK",40,0,1.25,0,0,0,0,35.78,-96.8,35.78,-96.8,0,0,0,0,0,81,0,0,0
649724,2019,10,20,"2019-10-20","20:00:00",3,"TX",48,0,1,0,0,0,0,32.6415,-96.9918,32.6415,-96.9918,0,0,0,0,0,113,0,0,0
649725,2019,10,20,"2019-10-20","20:02:00",3,"OK",40,0,1,0,0,0,0,35.23,-96.68,35.23,-96.68,0,0,0,0,0,133,0,0,0
649726,2019,10,20,"2019-10-20","20:03:00",3,"OK",40,0,1,0,0,0,0,35.23,-96.68,35.23,-96.68,0,0,0,0,0,133,0,0,0
649727,2019,10,20,"2019-10-20","20:04:00",3,"TX",48,0,1.25,0,0,0,0,32.6498,-96.9776,32.6498,-96.9776,0,0,0,0,0,113,0,0,0
649728,2019,10,20,"2019-10-20","20:05:00",3,"OK",40,0,1,0,0,0,0,35.49,-96.69,35.49,-96.69,0,0,0,0,0,81,0,0,0
649729,2019,10,20,"2019-10-20","20:05:00",3,"OK",40,0,1,0,0,0,0,35.76,-97.36,35.76,-97.36,0,0,0,0,0,83,0,0,0
649730,2019,10,20,"2019-10-20","20:05:00",3,"OK",40,0,1,0,0,0,0,35.23,-96.96,35.23,-96.96,0,0,0,0,0,125,0,0,0
649731,2019,10,20,"2019-10-20","20:09:00",3,"OK",40,0,1,0,0,0,0,35.23,-96.6,35.23,-96.6,0,0,0,0,0,133,0,0,0
649732,2019,10,20,"2019-10-20","20:10:00",3,"OK",40,0,1.75,0,0,20000,0,35.9861,-96.5807,35.9861,-96.5807,0,0,0,0,0,37,0,0,0
649733,2019,10,20,"2019-10-20","20:11:00",3,"OK",40,0,2,0,0,0,0,35.98,-96.76,35.98,-96.76,0,0,0,0,0,119,0,0,0
649734,2019,10,20,"2019-10-20","20:16:00",3,"OK",40,0,1,0,0,0,0,36.8,-97.28,36.8,-97.28,0,0,0,0,0,71,0,0,0
